epic_host,k2_campaign_str,k2_name,alt_name,tm_designation,k2_kepmag,ra_str,dec_str,last_update
EPIC 210968143,4,K2-90 c,K2-90 c,2MASS J03563656+2228216,13.723,03h56m36.58s,+22d28m21.5s,2016-07-18
EPIC 211077024,4,K2-91 b,K2-91 b,2MASS J04125232+2412185,14.464,04h12m52.34s,+24d12m18.4s,2016-07-18
EPIC 211791178,5,K2-120 b,K2-120 b,2MASS J08483431+1711267,13.648,08h48m34.32s,+17d11m26.5s,2017-10-05
EPIC 211525389,5,K2-105 b,K2-105 b,2MASS J08214087+1329512,11.687,08h21m40.87s,+13d29m51.1s,2017-01-12
EPIC 220674823,8,K2-106 b,EPIC 220674823 b,2MASS J00521914+1047409,11.958,00h52m19.15s,+10d47m40.9s,2017-01-26
EPIC 220674823,8,K2-106 c,EPIC 220674823 c,2MASS J00521914+1047409,11.958,00h52m19.15s,+10d47m40.9s,2017-01-26
EPIC 211818569,5,K2-121 b,K2-121 b,2MASS J08274481+1734457,12.935,08h27m44.81s,+17d34m45.8s,2017-10-05
EPIC 212006344,5,K2-122 b,K2-122 b,2MASS J08255432+2021344,12.466,08h25m54.31s,+20d21m34.5s,2017-10-05
EPIC 212069861,5,K2-123 b,K2-123 b,2MASS J08574660+2127127,14.102,08h57m46.60s,+21d27m12.7s,2017-10-05
EPIC 212154564,5,K2-124 b,K2-124 b,2MASS J08543387+2307584,15.105,08h54m33.89s,+23d07m58.4s,2017-10-05
EPIC 248435473,14,K2-266 b,K2-266 b,2MASS J10314450+0056152,11.386,10h31m44.51s,+00d56m15.3s,2018-10-11
EPIC 248435473,14,K2-266 c,K2-266 c,2MASS J10314450+0056152,11.386,10h31m44.51s,+00d56m15.3s,2018-10-11
EPIC 248435473,14,K2-266 d,K2-266 d,2MASS J10314450+0056152,11.386,10h31m44.51s,+00d56m15.3s,2018-10-11
EPIC 248435473,14,K2-266 e,K2-266 e,2MASS J10314450+0056152,11.386,10h31m44.51s,+00d56m15.3s,2018-10-11
EPIC 246851721,13,K2-267 b,EPIC 246851721 b,2MASS J05154075+1616435,11.257,05h15m40.74s,+16d16m43.5s,2018-10-11
EPIC 206011496,3,K2-265 b,K2-265 b,2MASS J22480755-1429407,10.916,22h48m07.57s,-14d29m40.9s,2018-10-04
EPIC 211682544,5,K2-263 b,K2-263 b,2MASS J08384378+1540503,11.407,08h38m43.77s,+15d40m50.3s,2018-09-27
EPIC 211964830,16,K2-264 b,K2-264 b,2MASS J08452605+1941544,15.318,08h45m26.06s,+19d41m54.5s,2018-09-27
EPIC 211964830,16,K2-264 c,K2-264 c,2MASS J08452605+1941544,15.318,08h45m26.06s,+19d41m54.5s,2018-09-27
EPIC 247267267,13,K2-284 b,K2-284 b,2MASS J05163376+2015184,12.811,05h16m33.76s,+20d15m18.4s,2018-11-15
EPIC 211413752,5,K2-268 c,K2-268 c,2MASS J08545028+1150537,13.539,08h54m50.29s,+11d50m53.8s,2018-10-26
EPIC 211491383,5,K2-269 b,K2-269 b,2MASS J08403726+1300527,11.785,08h40m37.24s,+13d00m52.8s,2018-10-26
EPIC 211529065,5,K2-270 c,K2-270 c,2MASS J08450398+1332594,13.431,08h45m03.98s,+13d32m59.4s,2018-10-26
EPIC 211713099,5,K2-271 b,K2-271 b,2MASS J08205372+1605274,13.640,08h20m53.73s,+16d05m27.4s,2018-10-26
EPIC 211816003,5,K2-272 b,K2-272 b,2MASS J08502906+1732328,13.654,08h50m29.07s,+17d32m32.8s,2018-10-26
EPIC 211919004,5,K2-273 b,K2-273 b,2MASS J08390649+1900360,13.131,08h39m06.49s,+19d00m36.1s,2018-10-26
EPIC 212008766,5,K2-274 b,K2-274 b,2MASS J08370778+2023577,12.802,08h37m07.79s,+20d23m57.7s,2018-10-26
EPIC 212130773,5,K2-276 b,K2-276 b,2MASS J08234865+2238024,14.467,08h23m48.66s,+22d38m02.5s,2018-10-26
EPIC 212357477,6,K2-277 b,K2-277 b,2MASS J13280398-1556162,10.215,13h28m03.99s,-15d56m16.2s,2018-10-26
EPIC 212418133,6,K2-278 b,K2-278 b,2MASS J13331242-1430146,13.204,13h33m12.43s,-14d30m14.6s,2018-10-26
EPIC 212782836,6,K2-279 b,K2-279 b,2MASS J13390713-0602293,11.574,13h39m07.13s,-06d02m29.7s,2018-10-26
EPIC 212012119,5,K2-275 b,K2-275 b,2MASS J08484077+2027182,11.753,08h48m40.77s,+20d27m18.3s,2018-10-26
EPIC 212012119,5,K2-275 c,K2-275 c,2MASS J08484077+2027182,11.753,08h48m40.77s,+20d27m18.3s,2018-10-26
EPIC 211529065,5,K2-270 b,K2-270 b,2MASS J08450398+1332594,13.431,08h45m03.98s,+13d32m59.4s,2018-10-26
EPIC 216494238,7,K2-280 b,K2-280 b,2MASS J19262288-2214514,12.302,19h26m22.88s,-22d14m51.6s,2018-10-26
EPIC 220554210,8,K2-282 b,K2-282 b,2MASS J00534368+0759432,13.723,00h53m43.68s,+07d59m43.1s,2018-10-26
