epic_host,k2_campaign_str,k2_name,alt_name,tm_designation,k2_kepmag,ra_str,dec_str,last_update
EPIC 201549860,1,K2-35 c,K2-35 c,2MASS J11202473+0117094,13.917,11h20m24.74s,+01d17m09.4s,2016-07-07
EPIC 201713348,1,K2-36 b,K2-36 b,2MASS J11174778+0351590,11.531,11h17m47.78s,+03d51m59.0s,2016-07-07
EPIC 201713348,1,K2-36 c,K2-36 c,2MASS J11174778+0351590,11.531,11h17m47.78s,+03d51m59.0s,2016-07-07
EPIC 203826436,2,K2-37 b,K2-37 b,2MASS J16134824-2447132,12.241,16h13m48.24s,-24d47m13.4s,2016-07-07
EPIC 203826436,2,K2-37 c,K2-37 c,2MASS J16134824-2447132,12.241,16h13m48.24s,-24d47m13.4s,2016-07-07
EPIC 203826436,2,K2-37 d,K2-37 d,2MASS J16134824-2447132,12.241,16h13m48.24s,-24d47m13.4s,2016-07-07
EPIC 204221263,2,K2-38 b,K2-38 b,2MASS J16000805-2311213,11.210,16h00m08.06s,-23d11m21.4s,2016-07-07
EPIC 204221263,2,K2-38 c,K2-38 c,2MASS J16000805-2311213,11.210,16h00m08.06s,-23d11m21.4s,2016-07-07
EPIC 211311380,5,K2-93 b,HIP 41378 b,2MASS J08262784+1004493,9.128,08h26m27.85s,+10d04m49.4s,2016-07-07
EPIC 211311380,5,K2-93 c,HIP 41378 c,2MASS J08262784+1004493,9.128,08h26m27.85s,+10d04m49.4s,2016-07-07
EPIC 211311380,5,K2-93 d,HIP 41378 d,2MASS J08262784+1004493,9.128,08h26m27.85s,+10d04m49.4s,2016-07-07
EPIC 211311380,5,K2-93 e,HIP 41378 e,2MASS J08262784+1004493,9.128,08h26m27.85s,+10d04m49.4s,2016-07-07
EPIC 211311380,5,K2-93 f,HIP 41378 f,2MASS J08262784+1004493,9.128,08h26m27.85s,+10d04m49.4s,2016-07-07
EPIC 201862715,1,K2-94 b,WASP-85 A b,2MASS J11433800+0633494,10.247,11h43m38.01s,+06d33m49.4s,2016-08-04
EPIC 201437844,10,K2-109 c,HD 106315 c,2MASS J12135339-0023365,9.234,12h13m53.39s,-00d23m36.5s,2017-03-02
EPIC 246199087,12,K2-112 b,TRAPPIST-1 b,2MASS J23062928-0502285,12.917,23h06m29.28s,-05d02m28.6s,2017-06-15
EPIC 246199087,12,K2-112 c,TRAPPIST-1 c,2MASS J23062928-0502285,12.917,23h06m29.28s,-05d02m28.6s,2017-06-15
EPIC 246199087,12,K2-112 d,TRAPPIST-1 d,2MASS J23062928-0502285,12.917,23h06m29.28s,-05d02m28.6s,2017-06-15
EPIC 246199087,12,K2-112 e,TRAPPIST-1 e,2MASS J23062928-0502285,12.917,23h06m29.28s,-05d02m28.6s,2017-06-15
